Taxa,oil_content_pct,seed_weight_1000_g,height_cm_mean,head_diameter_cm_mean,hull_pct,emergence_to_flowering_days,central_to_side_flowering_days,self_fertility_self_pollination_mean,self_fertility_open_pollination_mean
25.0,50.88913072572105,38.2340475350355,120.59808039182573,12.45610399120274,26.288108500124935,58.808233360882475,14.68411982688721,402.75879289189413,718.2493188842309
26.0,45.20952721613053,30.52340573926613,96.69698603263708,11.89553498821905,29.17678636635314,53.32042870296806,13.848595646528834,447.4562679888723,703.6563913082389
27.0,45.986963437975625,26.11732471311221,92.33521042411563,11.459797172168445,31.39884626345176,55.853261622005476,13.430833556349647,167.11684084554437,571.6444446254222
28.0,47.04514051770922,31.845230047112302,130.46466811401535,12.609381963361859,29.843404335482724,56.27540044184506,13.570087586409375,334.61474752474675,731.1757701629646
3.0,49.46383098567172,28.10006117488147,95.49076660509536,12.404565109734385,29.17678636635314,50.365456964091045,14.68411982688721,263.0595790580931,638.5737359153114
31.0,47.54183588166581,29.421885482727646,127.64692517152278,12.049314962470396,26.455766341967582,56.48646985176484,13.430833556349647,286.1140662133766,541.7829909745496
32.0,50.24126720751681,37.132527278497015,129.96593587005336,13.980517011256884,26.732520479544657,54.58684516248676,14.823373856946938,377.5086402932503,840.8479264825343
53.0,48.57841751079259,41.97921640726633,117.23215379878069,12.157914748421561,27.17693245896438,53.74256752280762,14.26635773670802,207.30536012133615,537.0087615824041
33.0,44.604854599139905,34.92948676542005,113.73088651401444,12.174480817464962,27.399138448674243,52.054012243449336,13.987849676588564,256.4333744165235,553.2231255557285
34.0,45.03676361127607,31.62492599580461,134.4114468004421,13.446386785130338,30.95443428403204,55.22005339224612,13.848595646528834,472.90246214495903,754.4163585247297
54.0,43.58986842061993,44.694377918032714,103.6112081083674,11.692726142960476,29.843404335482724,50.99866519385041,14.68411982688721,167.3814969480923,335.50024931392176
35.0,45.18793176552372,20.389419379112105,101.46155277142697,12.236896410931505,31.39884626345176,56.48646985176484,13.013071466170459,360.9627328450707,717.9340395847497
36.0,49.658190041133,30.52340573926613,117.2605655999226,12.94715765684414,28.954580376643275,55.22005339224612,14.40561176676775,493.81356160553355,899.3547564862802
37.0,47.13152232013645,33.16705435495848,108.92898441199117,14.60785229250639,28.287962407513696,55.00898398232634,13.430833556349647,364.4522725675541,934.8011577279643
4.0,42.42371408785229,31.845230047112302,102.32242008905943,12.761655931336533,29.843404335482724,51.63187342360976,13.709341616469105,310.3055944018288,728.3832963675587
38.0,47.62821768409304,24.795500405266033,110.37824269442746,13.045119779412461,24.288254592736173,57.11967808152419,12.734563406051,427.30319588374357,846.477913973272
39.0,47.02354506710241,23.03306799480446,107.71271315588658,12.14318935371632,30.732228294322173,56.06433103192526,13.430833556349647,307.67863753209417,707.8451020013478
40.0,47.282690474384104,22.812763943496762,117.76442205410864,11.118324193435498,31.398846263451762,55.22005339224612,13.152325496230189,210.7948998438195,584.7960954037854
41.0,44.669640950960336,34.70918271411236,130.6326772485658,13.141504181119508,29.17678636635314,55.853261622005476,13.709341616469105,333.9874145409295,726.5817003705226
42.0,47.71459948652027,28.10006117488147,131.35102399693218,12.569305462999294,29.621198345772864,56.06433103192526,14.823373856946938,393.70167293803274,729.3291342660026
43.0,52.0552850584887,32.94675030365079,129.3575309965931,12.608377959177412,26.954726469254517,56.06433103192526,13.987849676588564,222.9102680937899,627.7641599330952
44.0,48.967135621715144,26.778236867035293,127.86806539990543,13.75193872526413,29.17678636635314,60.49678864024077,13.152325496230189,260.62866374580136,721.2669921792661
45.0,45.058359061882875,41.09800020203554,135.11040787943725,12.3517991120406,28.06575641780383,57.33074749144398,14.127103706648292,216.32327176370896,488.9962282613933
46.0,46.54844515375264,31.18431789318922,127.09802353321584,11.86432719148578,29.398992356063,56.697539261684625,13.291579526289917,299.79776692289005,612.3605141584369
47.0,50.41403081237128,27.21884496965069,111.41286304864629,12.515925907192788,27.027141247842657,55.853261622005476,14.54486579682748,352.964237301401,884.311429911029
5.0,52.01209415727509,31.84523004711231,108.26161479419349,12.724842444573426,25.399284541285482,53.10935929304827,13.430833556349647,461.41442687880584,730.1848923645947
48.0,45.1231454137033,29.642189534035346,128.78026884198385,10.654083814148608,32.28767022229121,57.963955721203334,13.152325496230189,229.5756810468481,432.56123365423906
49.0,50.090099053269164,31.18431789318922,122.41064047803356,15.598135086433992,28.732374386933415,58.597163950962695,14.962627887006668,387.6635929687918,1047.8513065419766
50.0,49.39904463385131,31.404621944496917,120.8587099467053,11.916786410123208,30.06561032519259,59.01930277080227,13.987849676588564,327.83170963722284,662.4448828760392
51.0,50.953917077541476,30.303101687958428,120.97322899354629,15.636789247535257,30.287816314902454,58.597163950962695,14.127103706648292,488.46816180592424,1020.6472069867323
52.0,49.09670832535598,29.421885482727646,75.57785384616386,9.90308868418121,29.621198345772864,54.58684516248677,15.007375876706284,228.94834806303083,488.68094896191207
6.0,45.83579528372797,34.48887866280466,120.94163753234878,11.981210011958648,29.621198345772864,52.89828988312848,14.26635773670802,335.81060102514834,483.5013604704334
7.0,44.172945587003746,30.303101687958435,117.9522955165333,14.95573974241776,28.28796240751369,53.9536369327274,13.430833556349647,514.8945637492253,793.0155527612271
8.0,46.31089519707775,27.65945307226608,119.62377100898398,15.21778483455879,28.954580376643275,55.4311228021659,13.430833556349647,483.2534563779434,1000.5031117448729
9.0,40.39374173081233,40.43708804811246,96.84130157128939,12.349344879589724,30.510022304612317,52.05401224344933,14.26635773670802,175.27216963516847,442.83033083734455
