mother,mother_long,father,Y,SCA,trait
M2,VA761A,LI44,3.295790816326531,0.2959783885252216,seed_yield
M2,VA761A,LI45,3.739668367346939,0.35649369464767,seed_yield
M2,VA761A,LI46,2.8310510204081627,-0.6185573257604937,seed_yield
M2,VA761A,LI47,3.712591836734694,0.5729579803619562,seed_yield
M2,VA761A,LI48,3.4897653061224494,0.1462436946476701,seed_yield
M2,VA761A,LI49,2.791102040816326,-0.1088379380053914,seed_yield
M2,VA761A,LI5,2.82705612244898,0.0556926742395069,seed_yield
M2,VA761A,LI50,3.324642857142857,0.0302436946476696,seed_yield
M2,VA761A,LI51,3.339734693877551,0.0823253273007313,seed_yield
M2,VA761A,LI52,3.0898316326530613,-0.25295018290335,seed_yield
M2,VA761A,LI53,3.788051020408163,0.0480727762803225,seed_yield
M2,VA761A,LI54,3.1257857142857146,-0.413042019638044,seed_yield
M2,VA761A,LI6,4.188428571428572,0.4178967558721602,seed_yield
M2,VA761A,LI7,2.5340969387755106,-0.6471134482094727,seed_yield
M2,VA761A,LI8,3.0228061224489795,-0.3787154890257986,seed_yield
M2,VA761A,LI9,2.598903061224489,-0.4421899788217178,seed_yield
M3,VK934A,LI1,2.722744897959184,0.1138880920292644,seed_yield
M3,VK934A,LI10,1.8669489795918368,-0.3723057855217562,seed_yield
M3,VK934A,LI11,3.770739795918368,0.3026840103966113,seed_yield
M3,VK934A,LI12,3.1541938775510205,-0.2187241528686949,seed_yield
M3,VK934A,LI13,3.2234387755102043,0.1603472757027337,seed_yield
M3,VK934A,LI14,3.298454081632653,0.0385768675394677,seed_yield
M3,VK934A,LI15,3.052989795918368,0.0489340103966116,seed_yield
M3,VK934A,LI16,3.481775510204082,-0.0646986426646134,seed_yield
M3,VK934A,LI17,3.2913520408163266,-0.1008006834809402,seed_yield
M3,VK934A,LI18,3.47955612244898,-0.2588950712360418,seed_yield
M3,VK934A,LI19,3.8226734693877553,0.2738319695802849,seed_yield
M3,VK934A,LI2,3.137326530612245,-0.0550812957258375,seed_yield
M3,VK934A,LI21,3.5155102040816333,0.0220054389680397,seed_yield
M3,VK934A,LI22,3.027688775510204,0.0041023777435498,seed_yield
M3,VK934A,LI23,3.092494897959184,-0.3067598671544091,seed_yield
M3,VK934A,LI24,3.324642857142857,0.2856687042741623,seed_yield
M3,VK934A,LI25,3.0774030612244903,-0.4217981324605313,seed_yield
M3,VK934A,LI26,3.1515306122448985,0.0391687042741621,seed_yield
M3,VK934A,LI27,3.0885000000000007,-0.4112190508278788,seed_yield
M3,VK934A,LI28,2.890530612244897,-0.2397343569503283,seed_yield
M3,VK934A,LI29,3.425625,0.1850564593762032,seed_yield
M3,VK934A,LI3,3.614051020408164,0.5444493165190605,seed_yield
M3,VK934A,LI30,2.3303571428571432,-0.498367010011552,seed_yield
M3,VK934A,LI31,2.8616785714285715,-0.033627214093185,seed_yield
M3,VK934A,LI32,2.5292142857142865,-0.3492241528686945,seed_yield
M3,VK934A,LI33,3.600734693877551,0.1742554389680397,seed_yield
M3,VK934A,LI34,2.998836734693877,0.0865156430496716,seed_yield
M3,VK934A,LI35,3.085392857142857,-0.1635353773584911,seed_yield
M3,VK934A,LI36,2.909173469387756,0.4275615614170194,seed_yield
M3,VK934A,LI37,3.535484693877552,-0.0205328263380826,seed_yield
M3,VK934A,LI38,2.8328265306122447,-0.1744843569503285,seed_yield
