hybrid,seed_yield,oil_content,seed_weight_1000,oil_yield,plant_height,head_diameter
VK934A_LI10,2.301280034616472,47.62214269095956,89.45735582813515,1.0959188618036195,149.18326288485676,17.482430060560006
VK934A_LI11,3.5966600840845664,49.733040150227644,83.98087165018231,1.7887284036849889,179.89433306214772,18.55195061557752
VK934A_LI12,3.177149035189444,46.706385704953554,85.32597302722337,1.483931482796792,182.4567304619498,18.114419479433987
VK934A_LI13,3.224264746944403,50.67983974592877,82.37956048703826,1.6340522067358991,176.63173922877783,17.935073591335204
VK934A_LI14,3.275306768012276,49.98138102778859,73.44424419669426,1.6370435555491636,175.13155589605074,17.706748978466297
VK934A_LI15,3.1082876103168093,49.500220577514256,75.33379136920428,1.5386092232903672,174.00004289453707,18.028857339179808
VK934A_LI16,3.4000425946455994,49.764082759922765,76.2610842636788,1.6920000106720614,174.6680846225253,18.24751779841897
VK934A_LI17,3.27047438731946,49.62439101629473,76.95111564397978,1.6229529980511783,183.833838887114,18.83234926296038
VK934A_LI18,3.3985324756790942,49.26740100480086,83.72466186407922,1.6743686230712056,185.9011646992866,18.840360652885604
VK934A_LI19,3.6319968679007855,49.87273189385568,77.11124676029421,1.8113760603213944,190.1638807544745,18.43778830914306
VK934A_LI2,3.165672131044004,49.422614053276455,76.29457806709077,1.5645579195180102,169.665255947533,17.482430060560006
VK934A_LI20,3.602051578436056,49.36636848494394,70.98429414728288,1.7782020552284827,170.99912183760742,17.212591881714932
VK934A_LI21,3.422996402936477,46.75294961949623,87.29558575789059,1.600351783742059,169.62201341244332,17.969668229648676
VK934A_LI22,3.091072254098651,47.65318530065468,83.94884542691953,1.4729943890227537,170.6432025103307,17.782857182755933
VK934A_LI23,3.1351677279206007,47.839440958825385,87.96813644641108,1.499846714158723,165.55721511401205,18.01719033806876
VK934A_LI24,3.2931261718170366,49.60886971144717,72.38737882901917,1.6336826720102815,166.3438966177592,18.031210270437903
VK934A_LI25,3.124898918948366,49.32948622419109,83.35636029655613,1.5414965817425306,166.5817305607525,17.20603710813975
VK934A_LI26,3.175336892429637,48.07226053153878,81.5468786822033,1.5264562236828425,162.24084530751784,18.80048578030324
VK934A_LI27,3.1324495137808914,47.3738018133986,80.40994775637103,1.4839604245633276,162.48366877379073,17.915045116522144
VK934A_LI28,2.9977469019686342,48.92593229815455,76.74294519277112,1.4666756197271993,165.90980809243572,17.507556692598207
VK934A_LI29,3.36183658479302,40.71516203379561,109.95413871637945,1.3687772128098985,173.58591246233195,17.37573291291951
